fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.8,0.88,0.0,0.9558959864665145,-2.312635428847547,25.0,67.0,0.9968,3.2,0.68,9.8,5
7.8,0.76,0.04,0.8333438110532287,-2.375155785828881,15.0,54.0,0.997,3.26,0.65,9.8,5
11.2,0.28,0.56,0.642380063506292,-2.577021938695806,17.0,60.0,0.998,3.16,0.58,9.8,6
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,11.0,34.0,0.9978,3.51,0.56,9.4,5
7.4,0.66,0.0,0.588342066193819,-2.577021938695806,13.0,40.0,0.9978,3.51,0.56,9.4,5
7.9,0.6,0.06,0.4706284340145776,-2.659260036932778,15.0,59.0,0.9964,3.3,0.46,9.4,5
7.3,0.65,0.0,0.18315454309784637,-2.7181005369557116,15.0,21.0,0.9946,3.39,0.47,10.0,7
7.8,0.58,0.02,0.6936470556015963,-2.6036901857779675,9.0,18.0,0.9968,3.36,0.57,9.5,7
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,17.0,102.0,0.9978,3.35,0.8,10.5,5
6.7,0.58,0.08,0.588342066193819,-2.322787800311565,15.0,65.0,0.9959,3.28,0.54,9.2,5
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,17.0,102.0,0.9978,3.35,0.8,10.5,5
5.6,0.615,0.0,0.4706284340145776,-2.4079456086518722,16.0,59.0,0.9943,3.58,0.52,9.9,5
7.8,0.61,0.29,0.4706284340145776,-2.162823150618887,9.0,29.0,0.9974,3.26,1.56,9.1,5
8.9,0.62,0.18,1.3352641900071116,-1.731605546408308,52.0,145.0,0.9986,3.16,0.88,9.2,5
8.9,0.62,0.19,1.3612329305245194,-1.7660917224794772,51.0,148.0,0.9986,3.17,0.93,9.2,5
8.5,0.28,0.56,0.588342066193819,-2.375155785828881,35.0,103.0,0.9969,3.3,0.75,10.5,7
8.1,0.56,0.28,0.5312163134137247,-0.9969586349416099,16.0,56.0,0.9968,3.11,1.28,9.3,5
7.4,0.59,0.08,1.4818317878289544,-2.4418471603275536,6.0,29.0,0.9974,3.38,0.5,9.0,4
7.9,0.32,0.51,0.588342066193819,-1.0729445419195318,17.0,56.0,0.9969,3.04,1.08,9.2,6
8.9,0.22,0.48,0.588342066193819,-2.551046452292545,29.0,60.0,0.9968,3.39,0.53,9.4,6
7.6,0.39,0.31,0.8333438110532287,-2.488914671185539,23.0,71.0,0.9982,3.52,0.65,9.7,5
7.9,0.43,0.21,0.4706284340145776,-2.234926444520231,10.0,37.0,0.9966,3.17,0.91,9.5,5
8.5,0.49,0.11,0.8333438110532287,-2.4651040224918206,9.0,67.0,0.9968,3.17,0.53,9.4,5
6.9,0.4,0.14,0.8758853172391161,-2.453407982728629,21.0,40.0,0.9968,3.43,0.63,9.7,6
6.3,0.39,0.16,0.3371862673548698,-2.513306124309698,11.0,23.0,0.9955,3.34,0.56,9.3,5
7.6,0.41,0.24,0.588342066193819,-2.513306124309698,4.0,11.0,0.9962,3.28,0.59,9.5,5
7.9,0.43,0.21,0.4706284340145776,-2.234926444520231,10.0,37.0,0.9966,3.17,0.91,9.5,5
7.1,0.71,0.0,0.642380063506292,-2.513306124309698,14.0,35.0,0.9972,3.47,0.55,9.4,5
7.8,0.645,0.0,0.6936470556015963,-2.488914671185539,8.0,16.0,0.9964,3.38,0.59,9.8,6
6.7,0.675,0.07,0.8758853172391161,-2.4079456086518722,17.0,82.0,0.9958,3.35,0.54,10.1,5
6.9,0.685,0.0,0.9166906518954819,-2.24431618487007,22.0,37.0,0.9966,3.46,0.57,10.6,6
