fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_category
11.2,0.28,0.56,0.642380063506292,-2.577021938695806,17.0,60.0,0.998,3.16,0.58,9.8,6,good
7.3,0.65,0.0,0.18315454309784637,-2.7181005369557116,15.0,21.0,0.9946,3.39,0.47,10.0,7,good
7.8,0.58,0.02,0.6936470556015963,-2.6036901857779675,9.0,18.0,0.9968,3.36,0.57,9.5,7,good
8.5,0.28,0.56,0.588342066193819,-2.375155785828881,35.0,103.0,0.9969,3.3,0.75,10.5,7,good
7.9,0.32,0.51,0.588342066193819,-1.0729445419195318,17.0,56.0,0.9969,3.04,1.08,9.2,6,good
8.9,0.22,0.48,0.588342066193819,-2.551046452292545,29.0,60.0,0.9968,3.39,0.53,9.4,6,good
6.9,0.4,0.14,0.8758853172391161,-2.453407982728629,21.0,40.0,0.9968,3.43,0.63,9.7,6,good
7.8,0.645,0.0,0.6936470556015963,-2.488914671185539,8.0,16.0,0.9964,3.38,0.59,9.8,6,good
6.9,0.685,0.0,0.9166906518954819,-2.24431618487007,22.0,37.0,0.9966,3.46,0.57,10.6,6,good
6.9,0.605,0.12,2.370337195044864,-2.6036901857779675,40.0,83.0,0.9993,3.45,0.52,9.4,6,good
7.8,0.645,0.0,1.704929893893321,-2.4418471603275536,5.0,18.0,0.9986,3.4,0.55,9.6,6,good
7.8,0.6,0.14,0.8758853172391161,-2.4418471603275536,3.0,15.0,0.9975,3.42,0.6,10.8,6,good
8.1,0.38,0.28,0.7424134218628634,-2.703062659591171,13.0,30.0,0.9968,3.23,0.73,9.7,7,good
7.5,0.49,0.2,0.9558959864665145,-1.0996127890016931,8.0,14.0,0.9968,3.21,0.9,10.5,6,good
6.6,0.52,0.04,0.7889118025443247,-2.659260036932778,8.0,15.0,0.9956,3.4,0.63,9.4,6,good
6.6,0.5,0.04,0.7424134218628634,-2.6736487743848776,6.0,14.0,0.9955,3.39,0.64,9.4,6,good
7.6,0.51,0.15,1.0299764962779714,-2.198225077669803,33.0,73.0,0.9955,3.17,0.63,10.2,6,good
7.3,0.39,0.31,0.8758853172391161,-2.5902671654458267,9.0,46.0,0.9962,3.41,0.54,9.4,6,good
7.5,0.52,0.16,0.642380063506292,-2.453407982728629,12.0,35.0,0.9968,3.38,0.62,9.5,7,good
8.0,0.705,0.05,0.642380063506292,-2.5902671654458267,8.0,19.0,0.9962,3.34,0.95,10.5,6,good
7.7,0.63,0.08,0.642380063506292,-2.563949857128453,15.0,27.0,0.9967,3.32,0.54,9.5,6,good
6.8,0.785,0.0,0.8758853172391161,-2.2537949288246137,14.0,30.0,0.9966,3.52,0.55,10.7,6,good
6.3,0.3,0.48,0.588342066193819,-2.659260036932778,18.0,61.0,0.9959,3.44,0.78,10.3,6,good
4.7,0.6,0.17,0.8333438110532287,-2.8302178350764176,17.0,106.0,0.9932,3.85,0.6,12.9,6,good
8.1,0.545,0.18,0.642380063506292,-2.513306124309698,13.0,35.0,0.9972,3.3,0.59,9.0,6,good
8.3,0.61,0.3,0.7424134218628634,-2.4651040224918206,11.0,50.0,0.9972,3.4,0.61,10.2,6,good
7.8,0.5,0.3,0.642380063506292,-2.577021938695806,8.0,22.0,0.9959,3.31,0.56,10.4,6,good
8.1,0.545,0.18,0.642380063506292,-2.513306124309698,13.0,35.0,0.9972,3.3,0.59,9.0,6,good
8.0,0.33,0.53,0.9166906518954819,-2.385966701933097,18.0,80.0,0.9976,3.37,0.8,9.6,6,good
10.1,0.31,0.44,0.8333438110532287,-2.513306124309698,22.0,46.0,0.9988,3.32,0.67,9.7,6,good
9.4,0.4,0.31,0.7889118025443247,-2.396895772465287,13.0,62.0,0.9966,3.07,0.63,10.5,6,good
8.3,0.54,0.28,0.642380063506292,-2.551046452292545,11.0,40.0,0.9978,3.39,0.61,10.0,6,good
7.8,0.56,0.12,0.6936470556015963,-2.488914671185539,7.0,28.0,0.997,3.37,0.5,9.4,6,good
8.8,0.55,0.04,0.7889118025443247,-2.120263536200091,14.0,56.0,0.9962,3.21,0.6,10.9,6,good
7.0,0.69,0.08,0.588342066193819,-2.322787800311565,22.0,89.0,0.9959,3.34,0.54,9.2,6,good
8.8,0.55,0.04,0.7889118025443247,-2.120263536200091,14.0,56.0,0.9962,3.21,0.6,10.9,6,good
8.0,0.59,0.16,0.588342066193819,-2.7181005369557116,3.0,16.0,0.9962,3.42,0.92,10.5,7,good
6.6,0.5,0.01,0.40613155265132483,-2.796881414808826,17.0,26.0,0.9952,3.4,0.58,9.8,6,good
7.9,1.04,0.05,0.7889118025443247,-2.4651040224918206,13.0,29.0,0.9959,3.22,0.55,9.9,6,good
5.2,0.34,0.0,0.588342066193819,-2.975929646257811,27.0,63.0,0.9916,3.68,0.79,14.0,6,good
5.2,0.34,0.0,0.588342066193819,-2.975929646257811,27.0,63.0,0.9916,3.68,0.79,14.0,6,good
6.9,0.49,0.1,0.8333438110532287,-2.5902671654458267,12.0,30.0,0.9959,3.42,0.58,10.2,6,good
8.2,0.4,0.44,1.0299764962779714,-2.4079456086518722,11.0,43.0,0.9975,3.53,0.61,10.5,6,good
7.3,0.33,0.47,0.7424134218628634,-2.551046452292545,5.0,11.0,0.9958,3.33,0.53,10.3,6,good
6.8,0.6,0.18,0.642380063506292,-2.5257286443082556,18.0,86.0,0.9968,3.59,0.57,9.3,6,good
7.8,0.53,0.04,0.5312163134137247,-2.563949857128453,17.0,31.0,0.9964,3.33,0.56,10.0,6,good
