fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_category
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,11.0,34.0,0.9978,3.51,0.56,9.4,5,poor
7.8,0.88,0.0,0.9558959864665145,-2.312635428847547,25.0,67.0,0.9968,3.2,0.68,9.8,5,poor
7.8,0.76,0.04,0.8333438110532287,-2.375155785828881,15.0,54.0,0.997,3.26,0.65,9.8,5,poor
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,11.0,34.0,0.9978,3.51,0.56,9.4,5,poor
7.4,0.66,0.0,0.588342066193819,-2.577021938695806,13.0,40.0,0.9978,3.51,0.56,9.4,5,poor
7.9,0.6,0.06,0.4706284340145776,-2.659260036932778,15.0,59.0,0.9964,3.3,0.46,9.4,5,poor
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,17.0,102.0,0.9978,3.35,0.8,10.5,5,poor
6.7,0.58,0.08,0.588342066193819,-2.322787800311565,15.0,65.0,0.9959,3.28,0.54,9.2,5,poor
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,17.0,102.0,0.9978,3.35,0.8,10.5,5,poor
5.6,0.615,0.0,0.4706284340145776,-2.4079456086518722,16.0,59.0,0.9943,3.58,0.52,9.9,5,poor
7.8,0.61,0.29,0.4706284340145776,-2.162823150618887,9.0,29.0,0.9974,3.26,1.56,9.1,5,poor
8.9,0.62,0.18,1.3352641900071116,-1.731605546408308,52.0,145.0,0.9986,3.16,0.88,9.2,5,poor
8.9,0.62,0.19,1.3612329305245194,-1.7660917224794772,51.0,148.0,0.9986,3.17,0.93,9.2,5,poor
8.1,0.56,0.28,0.5312163134137247,-0.9969586349416099,16.0,56.0,0.9968,3.11,1.28,9.3,5,poor
7.4,0.59,0.08,1.4818317878289544,-2.4418471603275536,6.0,29.0,0.9974,3.38,0.5,9.0,4,poor
7.6,0.39,0.31,0.8333438110532287,-2.488914671185539,23.0,71.0,0.9982,3.52,0.65,9.7,5,poor
7.9,0.43,0.21,0.4706284340145776,-2.234926444520231,10.0,37.0,0.9966,3.17,0.91,9.5,5,poor
8.5,0.49,0.11,0.8333438110532287,-2.4651040224918206,9.0,67.0,0.9968,3.17,0.53,9.4,5,poor
6.3,0.39,0.16,0.3371862673548698,-2.513306124309698,11.0,23.0,0.9955,3.34,0.56,9.3,5,poor
7.6,0.41,0.24,0.588342066193819,-2.513306124309698,4.0,11.0,0.9962,3.28,0.59,9.5,5,poor
7.9,0.43,0.21,0.4706284340145776,-2.234926444520231,10.0,37.0,0.9966,3.17,0.91,9.5,5,poor
7.1,0.71,0.0,0.642380063506292,-2.513306124309698,14.0,35.0,0.9972,3.47,0.55,9.4,5,poor
6.7,0.675,0.07,0.8758853172391161,-2.4079456086518722,17.0,82.0,0.9958,3.35,0.54,10.1,5,poor
8.3,0.655,0.12,0.8333438110532287,-2.4769384801388235,15.0,113.0,0.9966,3.17,0.66,9.8,5,poor
5.2,0.32,0.25,0.588342066193819,-2.2633643798407643,13.0,50.0,0.9957,3.38,0.55,9.2,5,poor
5.7,1.13,0.09,0.40613155265132483,-1.7544636844843582,7.0,19.0,0.994,3.5,0.48,9.8,4,poor
7.3,0.45,0.36,1.7751218280750318,-2.5902671654458267,12.0,87.0,0.9978,3.33,0.83,10.5,5,poor
7.3,0.45,0.36,1.7751218280750318,-2.5902671654458267,12.0,87.0,0.9978,3.33,0.83,10.5,5,poor
8.8,0.61,0.3,1.0299764962779714,-2.419118909249997,17.0,46.0,0.9976,3.26,0.51,9.3,4,poor
8.1,0.66,0.22,0.7889118025443247,-2.659260036932778,9.0,23.0,0.9968,3.3,1.2,10.3,5,poor
6.8,0.67,0.02,0.588342066193819,-2.975929646257811,5.0,11.0,0.9962,3.48,0.52,9.5,5,poor
4.6,0.52,0.15,0.7424134218628634,-2.900422093749666,8.0,65.0,0.9934,3.9,0.56,13.1,4,poor
7.7,0.935,0.43,0.7889118025443247,-2.162823150618887,22.0,114.0,0.997,3.25,0.73,9.2,5,poor
8.7,0.29,0.52,0.4706284340145776,-2.1715568305876416,12.0,37.0,0.9969,3.25,0.58,9.5,5,poor
6.4,0.4,0.23,0.4706284340145776,-2.703062659591171,5.0,12.0,0.9958,3.34,0.56,9.2,5,poor
5.6,0.31,0.37,0.3371862673548698,-2.5902671654458267,12.0,96.0,0.9954,3.32,0.58,9.2,5,poor
8.8,0.66,0.26,0.5312163134137247,-2.5902671654458267,4.0,23.0,0.9971,3.15,0.74,9.2,5,poor
8.6,0.38,0.36,1.09894556645823,-2.501036031717884,30.0,119.0,0.997,3.2,0.56,9.4,5,poor
7.7,0.62,0.04,1.3352641900071116,-2.4651040224918206,25.0,45.0,0.9978,3.34,0.53,9.5,5,poor
10.2,0.42,0.57,1.2240695060250584,-2.6450754019408214,4.0,10.0,0.9971,3.04,0.63,9.6,5,poor
7.5,0.63,0.12,1.6294365989407895,-2.1892564076870427,50.0,110.0,0.9983,3.26,0.77,9.4,5,poor
7.8,0.59,0.18,0.8333438110532287,-2.563949857128453,17.0,54.0,0.9975,3.43,0.59,10.0,5,poor
8.8,0.4,0.4,0.7889118025443247,-2.5257286443082556,19.0,52.0,0.998,3.44,0.64,9.2,5,poor
7.7,0.69,0.49,0.588342066193819,-2.1541650878757723,20.0,112.0,0.9968,3.21,0.71,9.3,5,poor
7.0,0.735,0.05,0.6936470556015963,-2.501036031717884,13.0,54.0,0.9966,3.39,0.57,9.8,5,poor
7.2,0.725,0.05,1.53708225024196,-2.4418471603275536,4.0,11.0,0.9962,3.41,0.39,10.9,5,poor
7.2,0.725,0.05,1.53708225024196,-2.4418471603275536,4.0,11.0,0.9962,3.41,0.39,10.9,5,poor
7.5,0.52,0.11,0.40613155265132483,-2.5257286443082556,11.0,39.0,0.9968,3.42,0.58,9.6,5,poor
6.6,0.705,0.07,0.4706284340145776,-2.563949857128453,6.0,15.0,0.9962,3.44,0.58,10.7,5,poor
9.3,0.32,0.57,0.6936470556015963,-2.5902671654458267,27.0,65.0,0.9969,3.28,0.79,10.7,5,poor
7.7,0.67,0.23,0.7424134218628634,-2.419118909249997,17.0,96.0,0.9962,3.32,0.48,9.5,5,poor
7.7,0.69,0.22,0.642380063506292,-2.4651040224918206,18.0,94.0,0.9961,3.31,0.48,9.5,5,poor
8.3,0.675,0.26,0.7424134218628634,-2.4651040224918206,11.0,43.0,0.9976,3.31,0.53,9.2,4,poor
9.7,0.32,0.54,0.9166906518954819,-2.353878387381596,28.0,83.0,0.9984,3.28,0.82,9.6,5,poor
8.8,0.41,0.64,0.7889118025443247,-2.364460496712133,9.0,42.0,0.9986,3.54,0.66,10.5,5,poor
8.8,0.41,0.64,0.7889118025443247,-2.364460496712133,9.0,42.0,0.9986,3.54,0.66,10.5,5,poor
6.7,0.75,0.12,0.6936470556015963,-2.4418471603275536,12.0,80.0,0.9958,3.38,0.52,10.1,5,poor
8.3,0.625,0.2,0.40613155265132483,-2.513306124309698,27.0,119.0,0.9972,3.16,1.12,9.1,4,poor
6.2,0.45,0.2,0.4706284340145776,-2.659260036932778,3.0,15.0,0.9958,3.41,0.56,9.2,5,poor
7.8,0.43,0.7,0.642380063506292,-0.7657178733947807,22.0,67.0,0.9974,3.13,1.28,9.4,5,poor
7.4,0.5,0.47,0.6936470556015963,-2.4418471603275536,21.0,73.0,0.997,3.36,0.57,9.1,5,poor
7.3,0.67,0.26,0.588342066193819,-0.9113031903631159,16.0,51.0,0.9969,3.16,1.14,9.4,5,poor
