fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,2.3979861777572986,3.52638993594835,0.9978,3.51,-0.5780343734594406,9.4,5
7.8,0.88,0.0,0.9558959864665145,-2.312635428847547,3.218915824068222,4.2047075446527185,0.9968,3.2,-0.3841929728326246,9.8,5
7.8,0.76,0.04,0.8333438110532287,-2.375155785828881,2.7081168655467533,3.989002564911327,0.997,3.26,-0.42924563677356775,9.8,5
11.2,0.28,0.56,0.642380063506292,-2.577021938695806,2.833272165855592,4.09436122874988,0.998,3.16,-0.5430045221302259,9.8,6
7.4,0.7,0.0,0.642380063506292,-2.563949857128453,2.3979861777572986,3.52638993594835,0.9978,3.51,-0.5780343734594406,9.4,5
7.4,0.66,0.0,0.588342066193819,-2.577021938695806,2.5650262775800314,3.6889044538014413,0.9978,3.51,-0.5780343734594406,9.4,5
7.9,0.6,0.06,0.4706284340145776,-2.659260036932778,2.7081168655467533,4.077554392914626,0.9964,3.3,-0.7743572359854884,9.4,5
7.3,0.65,0.0,0.18315454309784637,-2.7181005369557116,2.7081168655467533,3.0445700556372914,0.9946,3.39,-0.7528971849657193,10.0,7
7.8,0.58,0.02,0.6936470556015963,-2.6036901857779675,2.1973356822749484,2.8904273119085677,0.9968,3.36,-0.5603660693261269,9.5,7
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,2.833272165855592,4.624982617157782,0.9978,3.35,-0.22189433191377778,10.5,5
6.7,0.58,0.08,0.588342066193819,-2.322787800311565,2.7081168655467533,4.17440265439268,0.9959,3.28,-0.6143360001356555,9.2,5
7.5,0.5,0.36,1.8084526921697155,-2.631089159966082,2.833272165855592,4.624982617157782,0.9978,3.35,-0.22189433191377778,10.5,5
5.6,0.615,0.0,0.4706284340145776,-2.4079456086518722,2.7726512202867375,4.077554392914626,0.9943,3.58,-0.6520052372287701,9.9,5
7.8,0.61,0.29,0.4706284340145776,-2.162823150618887,2.1973356822749484,3.367330312150578,0.9974,3.26,0.445326641533295,9.1,5
8.9,0.62,0.18,1.3352641900071116,-1.731605546408308,3.9512629491657494,4.976740638948518,0.9986,3.16,-0.12669765304595754,9.2,5
8.9,0.62,0.19,1.3612329305245194,-1.7660917224794772,3.9318452403752318,4.997219030498045,0.9986,3.17,-0.07149600170506992,9.2,5
8.5,0.28,0.56,0.588342066193819,-2.375155785828881,3.5553766325098297,4.634738696920371,0.9969,3.3,-0.28634962721800233,10.5,7
8.1,0.56,0.28,0.5312163134137247,-0.9969586349416099,2.7726512202867375,4.02536954771857,0.9968,3.11,0.24764102291459714,9.3,5
7.4,0.59,0.08,1.4818317878289544,-2.4418471603275536,1.7919261220073759,3.367330312150578,0.9974,3.38,-0.6911491778972723,9.0,4
7.9,0.32,0.51,0.588342066193819,-1.0729445419195318,2.833272165855592,4.02536954771857,0.9969,3.04,0.0778865386570712,9.2,6
8.9,0.22,0.48,0.588342066193819,-2.551046452292545,3.367330312150578,4.09436122874988,0.9968,3.39,-0.6329932577401982,9.4,6
7.6,0.39,0.31,0.8333438110532287,-2.488914671185539,3.135537693244867,4.262693961449172,0.9982,3.52,-0.42924563677356775,9.7,5
7.9,0.43,0.21,0.4706284340145776,-2.234926444520231,2.3026850879943788,3.610944939306028,0.9966,3.17,-0.0932123817221787,9.5,5
8.5,0.49,0.11,0.8333438110532287,-2.4651040224918206,2.1973356822749484,4.2047075446527185,0.9968,3.17,-0.6329932577401982,9.4,5
6.9,0.4,0.14,0.8758853172391161,-2.453407982728629,3.0445700556372914,3.6889044538014413,0.9968,3.43,-0.4604494164409239,9.7,6
6.3,0.39,0.16,0.3371862673548698,-2.513306124309698,2.3979861777572986,3.135537693244867,0.9955,3.34,-0.5780343734594406,9.3,5
7.6,0.41,0.24,0.588342066193819,-2.513306124309698,1.3865443298750981,2.3979861777572986,0.9962,3.28,-0.5259392615760389,9.5,5
