fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_category
7.0,-1.305636458102436,0.36,20.7,-3.079113882493042,45.0,170.0,1.001,3.0,0.45,8.8,6,good
6.3,-1.2006450142332614,0.34,1.6,-2.995732273553991,14.0,132.0,0.994,3.3,0.49,9.5,6,good
8.1,-1.2694006096483912,0.4,6.9,-2.975929646257811,30.0,97.0,0.9951,3.26,0.44,10.1,6,good
7.2,-1.4653375684603434,0.32,8.5,-2.8302178350764176,47.0,186.0,0.9956,3.19,0.4,9.9,6,good
7.2,-1.4653375684603434,0.32,8.5,-2.8302178350764176,47.0,186.0,0.9956,3.19,0.4,9.9,6,good
8.1,-1.2694006096483912,0.4,6.9,-2.975929646257811,30.0,97.0,0.9951,3.26,0.44,10.1,6,good
6.2,-1.1363141558521213,0.16,7.0,-3.079113882493042,30.0,136.0,0.9949,3.18,0.47,9.6,6,good
7.0,-1.305636458102436,0.36,20.7,-3.079113882493042,45.0,170.0,1.001,3.0,0.45,8.8,6,good
6.3,-1.2006450142332614,0.34,1.6,-2.995732273553991,14.0,132.0,0.994,3.3,0.49,9.5,6,good
8.1,-1.5095925774643841,0.43,1.5,-3.101092789211817,28.0,129.0,0.9938,3.22,0.45,11.0,6,good
6.6,-1.8263509139976741,0.4,1.5,-3.101092789211817,48.0,143.0,0.9912,3.54,0.52,12.4,7,good
6.6,-1.7660917224794772,0.38,1.5,-3.4112477175156566,28.0,112.0,0.9914,3.25,0.55,11.4,7,good
6.3,-0.731888008876376,0.04,1.1,-3.0576076772720784,30.0,99.0,0.9928,3.24,0.36,9.6,6,good
6.2,-0.41400143913045073,0.48,1.2,-3.506557897319982,29.0,75.0,0.9892,3.33,0.39,12.8,8,good
7.4,-1.07587280169862,0.42,1.1,-3.3813947543659757,17.0,171.0,0.9917,3.12,0.53,11.3,6,good
6.2,-0.41400143913045073,0.48,1.2,-3.506557897319982,29.0,75.0,0.9892,3.33,0.39,12.8,8,good
6.4,-1.1679623668029029,0.38,2.9,-3.2441936328524905,19.0,102.0,0.9912,3.17,0.35,11.0,7,good
6.8,-1.3432348716594436,0.42,1.7,-2.995732273553991,41.0,122.0,0.993,3.47,0.48,10.5,8,good
6.6,-1.305636458102436,0.41,1.3,-2.9374633654300153,16.0,142.0,0.9951,3.42,0.47,10.0,6,good
7.0,-1.3823023398503531,0.32,9.0,-3.0576076772720784,56.0,245.0,0.9955,3.25,0.5,10.4,6,good
6.9,-1.422958345491482,0.35,1.0,-2.9374633654300153,35.0,146.0,0.993,3.45,0.44,10.0,6,good
7.0,-1.2694006096483912,0.39,8.7,-2.9565115604007097,32.0,141.0,0.9961,3.38,0.53,10.5,6,good
7.4,-1.305636458102436,0.48,1.1,-3.036554268074246,17.0,132.0,0.9914,3.19,0.49,11.6,6,good
7.2,-1.1363141558521213,0.36,2.0,-3.3813947543659757,37.0,114.0,0.9906,3.1,0.71,12.3,7,good
8.5,-1.422958345491482,0.39,10.4,-3.101092789211817,20.0,142.0,0.9974,3.2,0.53,10.0,6,good
8.3,-1.9589953886039686,0.34,1.1,-3.1465551632885744,7.0,47.0,0.9934,3.47,0.4,10.2,6,good
7.4,-1.3823023398503531,0.36,2.05,-2.975929646257811,31.0,100.0,0.992,3.19,0.44,10.8,6,good
6.2,-2.111964733385396,0.34,1.5,-3.079113882493042,43.0,117.0,0.9939,3.42,0.51,9.0,6,good
7.0,-1.1056369036050742,0.32,1.2,-2.9187712324178627,38.0,138.0,0.9906,3.13,0.28,11.2,6,good
6.7,-1.4653375684603434,0.39,2.5,-1.7544636844843582,63.0,158.0,0.9937,3.11,0.36,9.4,6,good
6.7,-1.422958345491482,0.39,2.9,-1.7486999797676082,63.0,157.0,0.9937,3.1,0.34,9.4,6,good
7.0,-1.1679623668029029,0.26,7.4,-2.659260036932778,28.0,160.0,0.9954,3.13,0.46,9.8,6,good
6.6,-1.422958345491482,0.27,1.4,-2.8473122684357177,33.0,152.0,0.9934,3.22,0.56,9.5,6,good
6.7,-1.4653375684603434,0.26,1.4,-2.796881414808826,33.0,154.0,0.9934,3.24,0.56,9.5,6,good
7.4,-1.7092582477163114,0.31,1.4,-2.8302178350764176,38.0,167.0,0.9931,3.16,0.53,10.0,7,good
7.0,-1.1679623668029029,0.26,7.4,-2.659260036932778,28.0,160.0,0.9954,3.13,0.46,9.8,6,good
7.2,-1.6554818509355071,0.31,1.6,-2.7646205525906042,31.0,173.0,0.9917,3.35,0.44,11.7,6,good
6.6,-1.3823023398503531,0.29,1.1,-2.6736487743848776,39.0,124.0,0.9914,3.34,0.58,11.0,7,good
6.2,-1.8263509139976741,0.33,1.1,-2.8473122684357177,21.0,82.0,0.991,3.32,0.46,10.9,7,good
6.4,-1.7092582477163114,0.35,1.0,-3.079113882493042,39.0,108.0,0.9911,3.31,0.35,10.9,6,good
6.8,-1.6044503709230613,0.59,0.9,-1.9105430052180221,38.0,132.0,0.993,3.05,0.38,9.1,6,good
6.9,-1.3823023398503531,0.35,1.3,-3.2188758248682006,29.0,191.0,0.9908,3.13,0.52,11.0,6,good
7.2,-1.5558971455060706,0.34,11.9,-3.123565645063876,37.0,213.0,0.9962,3.09,0.5,9.6,6,good
6.0,-1.6554818509355071,0.26,12.4,-3.0159349808715104,50.0,147.0,0.9972,3.3,0.36,8.9,6,good
6.6,-0.9649559038554361,0.15,4.6,-3.101092789211817,25.0,78.0,0.9931,3.11,0.38,10.2,6,good
7.4,-1.6044503709230613,0.36,1.2,-3.2441936328524905,44.0,111.0,0.9926,3.36,0.34,9.9,6,good
6.8,-1.5095925774643841,0.24,4.9,-2.375155785828881,30.0,123.0,0.9951,3.03,0.46,8.6,6,good
6.0,-1.6554818509355071,0.26,12.4,-3.0159349808715104,50.0,147.0,0.9972,3.3,0.36,8.9,6,good
6.6,-0.9649559038554361,0.15,4.6,-3.101092789211817,25.0,78.0,0.9931,3.11,0.38,10.2,6,good
7.2,-1.422958345491482,0.27,1.4,-3.2441936328524905,31.0,122.0,0.9927,3.15,0.46,10.3,6,good
6.4,-1.3432348716594436,0.24,6.4,-3.1941832122778293,27.0,124.0,0.9903,3.22,0.49,12.6,7,good
6.7,-1.4653375684603434,0.31,2.1,-3.0576076772720784,30.0,96.0,0.9926,3.33,0.64,10.7,8,good
6.2,-1.305636458102436,0.43,7.8,-2.864704011147587,48.0,244.0,0.9956,3.1,0.51,9.0,6,good
8.6,-1.4653375684603434,0.46,1.0,-2.900422093749666,9.0,72.0,0.9941,2.95,0.49,9.1,6,good
6.7,-1.4653375684603434,0.31,2.1,-3.0576076772720784,30.0,96.0,0.9926,3.33,0.64,10.7,8,good
7.1,-1.7092582477163114,0.36,1.4,-3.123565645063876,31.0,87.0,0.9898,3.26,0.37,12.7,7,good
7.0,-1.1363141558521213,0.34,1.3,-3.1465551632885744,20.0,69.0,0.9912,3.31,0.65,12.0,7,good
6.8,-1.5095925774643841,0.31,1.4,-2.9187712324178627,34.0,114.0,0.9929,3.39,0.77,10.6,6,good
7.1,-1.6044503709230613,0.34,16.0,-2.975929646257811,51.0,166.0,0.9985,3.21,0.6,9.2,6,good
7.3,-1.5095925774643841,0.3,8.2,-3.036554268074246,42.0,207.0,0.9966,3.33,0.46,9.5,6,good
7.1,-0.818710403535291,0.62,11.8,-3.101092789211817,52.0,152.0,0.9975,3.12,0.46,8.7,6,good
7.2,-0.9390477189967712,0.63,11.0,-3.101092789211817,55.0,156.0,0.9974,3.09,0.44,8.7,6,good
6.8,-1.3823023398503531,0.31,13.3,-2.975929646257811,69.0,202.0,0.9972,3.22,0.48,9.7,6,good
7.1,-0.818710403535291,0.62,11.8,-3.101092789211817,52.0,152.0,0.9975,3.12,0.46,8.7,6,good
7.2,-0.9390477189967712,0.63,11.0,-3.101092789211817,55.0,156.0,0.9974,3.09,0.44,8.7,6,good
6.9,-1.422958345491482,0.33,1.7,-3.324236340526027,47.0,136.0,0.99,3.26,0.4,12.6,7,good
6.9,-1.5558971455060706,0.33,1.8,-3.3524072174927233,48.0,136.0,0.9899,3.25,0.41,12.6,7,good
7.5,-1.7660917224794772,0.32,1.7,-3.1941832122778293,51.0,148.0,0.9916,3.21,0.44,11.5,7,good
7.1,-1.3432348716594436,0.29,12.4,-3.101092789211817,62.0,240.0,0.9969,3.04,0.42,9.2,6,good
6.0,-1.07587280169862,0.66,15.9,-3.0576076772720784,26.0,164.0,0.9979,3.14,0.5,8.8,6,good
8.6,-1.324258970200438,0.36,1.2,-3.3524072174927233,15.0,80.0,0.9913,2.95,0.36,11.4,7,good
6.0,-1.07587280169862,0.66,15.9,-3.0576076772720784,26.0,164.0,0.9979,3.14,0.5,8.8,6,good
7.3,-2.0325579557809856,0.32,14.4,-2.9565115604007097,34.0,109.0,0.9974,3.2,0.35,9.2,6,good
7.1,-1.4653375684603434,0.35,16.5,-3.1941832122778293,60.0,171.0,0.999,3.16,0.59,9.1,6,good
7.1,-1.4653375684603434,0.35,16.5,-3.1941832122778293,60.0,171.0,0.999,3.16,0.59,9.1,6,good
6.5,-1.7660917224794772,0.54,8.5,-2.488914671185539,64.0,163.0,0.9959,2.89,0.39,8.8,6,good
6.0,-1.1679623668029029,0.24,3.3,-3.170085660698769,25.0,143.0,0.9914,3.31,0.44,11.3,6,good
7.0,-1.9589953886039686,0.4,1.7,-3.324236340526027,16.0,85.0,0.9911,3.19,0.42,11.8,6,good
6.9,-1.6554818509355071,0.28,5.0,-2.8302178350764176,14.0,146.0,0.9952,3.29,0.36,9.1,6,good
6.4,-2.0325579557809856,0.47,1.6,-2.375155785828881,40.0,158.0,0.9928,3.21,0.36,9.8,6,good
6.7,-1.6554818509355071,0.36,1.1,-3.611918412977808,63.0,143.0,0.9912,3.27,0.48,11.0,6,good
6.5,-1.422958345491482,0.32,7.6,-3.2441936328524905,48.0,203.0,0.9958,3.45,0.54,9.7,7,good
