fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_category
8.1,-1.305636458102436,0.41,1.45,-3.3813947543659757,11.0,63.0,0.9908,2.99,0.56,12.0,5,poor
8.6,-1.4653375684603434,0.4,4.2,-3.324236340526027,17.0,109.0,0.9947,3.14,0.53,9.7,5,poor
7.9,-1.7092582477163114,0.37,1.2,-3.1941832122778293,16.0,75.0,0.992,3.18,0.63,10.8,5,poor
8.3,-0.8651224452997557,0.62,19.25,-3.1941832122778293,41.0,172.0,1.0002,2.98,0.67,9.7,5,poor
6.5,-1.1679623668029029,0.14,7.5,-3.101092789211817,34.0,133.0,0.9955,3.22,0.5,9.5,5,poor
7.6,-0.3989861420104552,0.14,1.5,-2.5902671654458267,25.0,168.0,0.9937,3.05,0.51,9.3,5,poor
5.8,-1.305636458102436,0.2,14.95,-3.101092789211817,22.0,179.0,0.9962,3.37,0.37,10.2,5,poor
7.3,-1.2694006096483912,0.43,1.7,-2.513306124309698,21.0,123.0,0.9905,3.19,0.42,12.8,5,poor
6.5,-0.9390477189967712,0.23,5.4,-2.9565115604007097,25.0,149.0,0.9934,3.24,0.35,10.0,5,poor
7.3,-1.422958345491482,0.39,17.95,-2.8473122684357177,45.0,149.0,0.9999,3.21,0.36,8.6,5,poor
7.3,-1.422958345491482,0.39,17.95,-2.8473122684357177,45.0,149.0,0.9999,3.21,0.36,8.6,5,poor
6.2,-0.7962879394794586,0.26,4.4,-2.7488721956224653,63.0,206.0,0.994,3.27,0.52,9.8,4,poor
6.2,-0.7743572359854884,0.25,4.4,-2.703062659591171,62.0,207.0,0.9939,3.25,0.52,9.8,5,poor
6.9,-1.6554818509355071,0.35,5.0,-2.6882475738060303,32.0,150.0,0.995,3.36,0.48,9.8,5,poor
7.0,-0.7528971849657193,0.07,1.1,-3.324236340526027,17.0,151.0,0.991,3.02,0.34,10.5,5,poor
6.2,-1.0469690555162714,0.03,1.2,-2.7333680090865,29.0,120.0,0.9934,3.22,0.54,9.1,5,poor
6.7,-1.3823023398503531,0.13,1.2,-3.170085660698769,81.0,174.0,0.992,3.14,0.42,9.8,5,poor
7.4,-1.422958345491482,0.29,10.1,-2.975929646257811,21.0,105.0,0.9962,3.13,0.35,9.5,5,poor
6.8,-1.2006450142332614,0.23,4.6,-2.7806208939370456,50.5,238.5,0.9958,3.32,0.6,9.5,5,poor
6.0,-1.305636458102436,0.28,4.8,-2.7488721956224653,31.0,201.0,0.9964,3.69,0.71,10.0,5,poor
7.4,-1.422958345491482,0.29,10.1,-2.975929646257811,21.0,105.0,0.9962,3.13,0.35,9.5,5,poor
7.4,-1.7092582477163114,0.3,8.8,-2.7333680090865,26.0,103.0,0.9961,2.94,0.56,9.3,5,poor
6.7,-0.6143360001356555,0.28,5.4,-2.796881414808826,21.0,105.0,0.9949,3.27,0.37,9.0,5,poor
7.1,-1.07587280169862,0.2,6.1,-2.7488721956224653,47.0,164.0,0.9946,3.17,0.42,10.0,5,poor
7.1,-0.8416471888783893,0.61,11.8,-3.079113882493042,54.0,155.0,0.9974,3.11,0.45,8.7,5,poor
7.1,-0.8416471888783893,0.61,11.8,-3.079113882493042,54.0,155.0,0.9974,3.11,0.45,8.7,5,poor
6.1,-1.305636458102436,0.43,7.5,-2.995732273553991,65.0,243.0,0.9957,3.12,0.47,9.0,5,poor
9.8,-1.018877320649256,0.46,10.5,-3.2441936328524905,4.0,83.0,0.9956,2.89,0.3,10.1,4,poor
7.4,-1.3823023398503531,0.37,13.5,-2.796881414808826,52.0,192.0,0.9975,3.0,0.44,9.1,5,poor
7.1,-2.111964733385396,0.32,9.6,-2.900422093749666,64.0,162.0,0.9962,3.4,0.41,9.4,5,poor
6.0,-1.5558971455060706,0.24,12.1,-2.975929646257811,55.0,164.0,0.997,3.34,0.39,9.4,5,poor
7.5,-1.1841701770297564,0.4,18.9,-2.8134107167600364,44.0,170.0,1.0,2.99,0.46,9.0,5,poor
7.4,-1.3823023398503531,0.37,13.5,-2.796881414808826,52.0,192.0,0.9975,3.0,0.44,9.1,5,poor
7.1,-2.111964733385396,0.32,9.6,-2.900422093749666,64.0,162.0,0.9962,3.4,0.41,9.4,5,poor
6.9,-1.1056369036050742,0.28,1.3,-2.9565115604007097,37.0,187.0,0.9927,3.27,0.6,10.3,5,poor
7.2,-1.305636458102436,0.46,18.75,-2.9374633654300153,45.0,255.0,1.0,3.04,0.52,8.9,5,poor
7.2,-1.1679623668029029,0.5,13.3,-2.864704011147587,68.0,195.0,0.9982,3.01,0.47,9.2,5,poor
6.7,-0.8891620644859025,0.34,9.2,-2.995732273553991,29.0,150.0,0.9968,3.22,0.51,9.1,5,poor
6.7,-0.8891620644859025,0.34,9.2,-2.995732273553991,29.0,150.0,0.9968,3.22,0.51,9.1,5,poor
5.5,-0.7215466550816433,0.0,1.5,-2.7181005369557116,8.0,103.0,0.994,3.63,0.4,9.7,4,poor
7.2,-1.1679623668029029,0.5,13.3,-2.864704011147587,68.0,195.0,0.9982,3.01,0.47,9.2,5,poor
7.3,-1.1363141558521213,0.48,13.3,-2.796881414808826,57.0,196.0,0.9982,3.04,0.5,9.2,5,poor
5.9,-1.018877320649256,0.04,5.7,-3.0576076772720784,21.0,87.0,0.9934,3.22,0.51,10.2,5,poor
7.8,-1.422958345491482,0.32,12.2,-2.900422093749666,42.0,138.0,0.9984,3.01,0.54,8.8,5,poor
7.4,-1.8263509139976741,0.31,6.85,-2.8134107167600364,31.0,131.0,0.9952,3.29,0.34,9.7,5,poor
7.4,-0.9390477189967712,0.23,7.0,-3.3813947543659757,29.0,126.0,0.994,3.14,0.42,10.5,5,poor
5.7,-1.3432348716594436,0.25,10.4,-3.863232841258714,7.0,57.0,0.994,3.39,0.37,10.6,5,poor
6.5,-0.8533159327127666,0.4,13.1,-3.2441936328524905,59.0,241.0,0.9979,3.23,0.57,9.0,5,poor
6.6,-1.422958345491482,0.27,15.8,-3.324236340526027,46.0,188.0,0.9982,3.24,0.51,9.2,5,poor
6.8,-1.305636458102436,0.22,8.1,-3.3524072174927233,55.0,203.0,0.9961,3.19,0.52,8.9,5,poor
6.7,-1.305636458102436,0.31,15.7,-3.2968373663379125,44.0,179.0,0.9979,3.26,0.56,9.6,5,poor
7.1,-0.991553216374702,0.67,10.5,-3.079113882493042,49.0,155.0,0.9975,3.16,0.44,8.7,5,poor
6.3,-1.1679623668029029,0.34,2.2,-3.079113882493042,20.0,77.0,0.9927,3.3,0.43,10.2,5,poor
7.1,-0.991553216374702,0.67,10.5,-3.079113882493042,49.0,155.0,0.9975,3.16,0.44,8.7,5,poor
6.4,-0.5175146119167874,0.14,5.2,-2.8302178350764176,15.0,97.0,0.9951,3.38,0.36,9.0,4,poor
7.2,-1.7092582477163114,0.41,1.2,-3.0159349808715104,41.0,97.0,0.9919,3.14,0.45,10.4,5,poor
6.4,-1.5095925774643841,0.56,14.5,-2.8824035882469876,27.0,159.0,0.998,2.98,0.4,9.1,5,poor
6.3,-1.018877320649256,0.3,4.8,-2.995732273553991,14.0,85.0,0.9932,3.28,0.39,10.6,5,poor
6.7,-1.422958345491482,0.35,13.1,-2.975929646257811,64.0,205.0,0.997,3.15,0.5,9.5,5,poor
7.0,-1.4653375684603434,0.36,13.0,-2.9565115604007097,72.0,177.0,0.9972,3.16,0.49,9.8,5,poor
7.5,-1.2344320118106447,0.31,8.95,-2.8824035882469876,20.0,151.0,0.9968,3.08,0.54,9.3,5,poor
9.8,-0.8651224452997557,0.48,9.85,-3.3524072174927233,5.0,110.0,0.9958,2.87,0.29,10.0,5,poor
7.6,-0.731888008876376,0.37,0.8,-3.270169119255751,4.0,100.0,0.9902,3.03,0.39,11.4,4,poor
7.5,-1.305636458102436,0.31,17.7,-2.9565115604007097,33.0,173.0,0.999,3.09,0.64,10.2,5,poor
7.2,-1.1363141558521213,0.47,5.1,-3.101092789211817,19.0,65.0,0.991,3.03,0.41,12.6,4,poor
5.9,-1.4653375684603434,0.3,12.9,-2.900422093749666,57.0,170.0,0.9972,3.28,0.39,9.4,5,poor
6.0,-0.3989861420104552,0.07,1.2,-2.796881414808826,9.0,108.0,0.9931,3.11,0.35,8.7,4,poor
7.1,-1.07587280169862,0.15,1.2,-2.9187712324178627,61.0,183.0,0.9936,3.09,0.43,9.2,5,poor
6.8,-1.2694006096483912,0.4,22.0,-3.0159349808715104,48.0,167.0,1.001,2.93,0.5,8.7,5,poor
6.8,-1.3432348716594436,0.56,11.9,-3.123565645063876,64.0,226.0,0.997,3.02,0.63,9.3,5,poor
6.8,-1.2344320118106447,0.56,11.9,-3.123565645063876,66.0,230.0,0.9972,3.02,0.63,9.3,5,poor
5.9,-1.2006450142332614,0.23,4.2,-3.2441936328524905,42.0,119.0,0.9924,3.15,0.5,11.0,5,poor
6.5,-1.2694006096483912,0.28,8.5,-3.036554268074246,54.0,210.0,0.9962,3.09,0.54,8.9,4,poor
6.8,-1.2694006096483912,0.4,22.0,-3.0159349808715104,48.0,167.0,1.001,2.93,0.5,8.7,5,poor
6.6,-1.8904754421672127,0.34,5.1,-2.8824035882469876,34.0,125.0,0.9942,3.36,0.42,9.6,5,poor
6.4,-1.2344320118106447,0.44,3.6,-1.6044503709230613,75.0,181.0,0.9942,3.02,0.41,9.1,5,poor
6.4,-1.2344320118106447,0.44,3.6,-1.6194882482876019,75.0,183.0,0.9942,3.01,0.38,9.1,5,poor
6.8,-1.3432348716594436,0.24,7.8,-2.9374633654300153,54.0,214.0,0.9961,3.13,0.47,8.9,5,poor
7.1,-1.1363141558521213,0.24,13.1,-2.975929646257811,52.0,204.0,0.998,3.1,0.49,8.8,5,poor
