fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.0,-1.305636458102436,-1.018877320649256,3.0301820082832167,-3.079113882493042,3.806684711745632,170.0,1.001,3.0,0.45,8.8,6
6.3,-1.2006450142332614,-1.07587280169862,0.4706284340145776,-2.995732273553991,2.639128755635788,132.0,0.994,3.3,0.49,9.5,6
8.1,-1.2694006096483912,-0.9137938516755678,1.9316663286384648,-2.975929646257811,3.4012307144399454,97.0,0.9951,3.26,0.44,10.1,6
7.2,-1.4653375684603434,-1.1363141558521213,2.140183803635222,-2.8302178350764176,3.85016887807946,186.0,0.9956,3.19,0.4,9.9,6
7.2,-1.4653375684603434,-1.1363141558521213,2.140183803635222,-2.8302178350764176,3.85016887807946,186.0,0.9956,3.19,0.4,9.9,6
8.1,-1.2694006096483912,-0.9137938516755678,1.9316663286384648,-2.975929646257811,3.4012307144399454,97.0,0.9951,3.26,0.44,10.1,6
6.2,-1.1363141558521213,-1.8263509139976741,1.9460529959950605,-3.079113882493042,3.4012307144399454,136.0,0.9949,3.18,0.47,9.6,6
7.0,-1.305636458102436,-1.018877320649256,3.0301820082832167,-3.079113882493042,3.806684711745632,170.0,1.001,3.0,0.45,8.8,6
6.3,-1.2006450142332614,-1.07587280169862,0.4706284340145776,-2.995732273553991,2.639128755635788,132.0,0.994,3.3,0.49,9.5,6
8.1,-1.5095925774643841,-0.8416471888783893,0.40613155265132483,-3.101092789211817,3.3322402238231783,129.0,0.9938,3.22,0.45,11.0,6
8.1,-1.305636458102436,-0.8891620644859025,0.3722529739020507,-3.3813947543659757,2.3979861777572986,63.0,0.9908,2.99,0.56,12.0,5
8.6,-1.4653375684603434,-0.9137938516755678,1.4353225921872452,-3.324236340526027,2.833272165855592,109.0,0.9947,3.14,0.53,9.7,5
7.9,-1.7092582477163114,-0.991553216374702,0.18315454309784637,-3.1941832122778293,2.7726512202867375,75.0,0.992,3.18,0.63,10.8,5
6.6,-1.8263509139976741,-0.9137938516755678,0.40613155265132483,-3.101092789211817,3.8712218440242134,143.0,0.9912,3.54,0.52,12.4,7
8.3,-0.8651224452997557,-0.4764241970486583,2.957563007436488,-3.1941832122778293,3.713596456650773,172.0,1.0002,2.98,0.67,9.7,5
6.6,-1.7660917224794772,-0.9649559038554361,0.40613155265132483,-3.4112477175156566,3.3322402238231783,112.0,0.9914,3.25,0.55,11.4,7
6.3,-0.731888008876376,-3.1941832122778293,0.0962188577405429,-3.0576076772720784,3.4012307144399454,99.0,0.9928,3.24,0.36,9.6,6
6.2,-0.41400143913045073,-0.731888008876376,0.18315454309784637,-3.506557897319982,3.367330312150578,75.0,0.9892,3.33,0.39,12.8,8
7.4,-1.07587280169862,-0.8651224452997557,0.0962188577405429,-3.3813947543659757,2.833272165855592,171.0,0.9917,3.12,0.53,11.3,6
6.5,-1.1679623668029029,-1.9589953886039686,2.0150363449874993,-3.101092789211817,3.52638993594835,133.0,0.9955,3.22,0.5,9.5,5
6.2,-0.41400143913045073,-0.731888008876376,0.18315454309784637,-3.506557897319982,3.367330312150578,75.0,0.9892,3.33,0.39,12.8,8
6.4,-1.1679623668029029,-0.9649559038554361,1.065055505139267,-3.2441936328524905,2.944491609360395,102.0,0.9912,3.17,0.35,11.0,7
6.8,-1.3432348716594436,-0.8651224452997557,0.5312163134137247,-2.995732273553991,3.713596456650773,122.0,0.993,3.47,0.48,10.5,8
7.6,-0.3989861420104552,-1.9589953886039686,0.40613155265132483,-2.5902671654458267,3.218915824068222,168.0,0.9937,3.05,0.51,9.3,5
6.6,-1.305636458102436,-0.8891620644859025,0.2631331995303682,-2.9374633654300153,2.7726512202867375,142.0,0.9951,3.42,0.47,10.0,6
7.0,-1.3823023398503531,-1.1363141558521213,2.1973356822749484,-3.0576076772720784,4.02536954771857,245.0,0.9955,3.25,0.5,10.4,6
6.9,-1.422958345491482,-1.0469690555162714,0.0009995003330834232,-2.9374633654300153,3.5553766325098297,146.0,0.993,3.45,0.44,10.0,6
7.0,-1.2694006096483912,-0.9390477189967712,2.1634379615838872,-2.9565115604007097,3.4657671523114555,141.0,0.9961,3.38,0.53,10.5,6
7.4,-1.305636458102436,-0.731888008876376,0.0962188577405429,-3.036554268074246,2.833272165855592,132.0,0.9914,3.19,0.49,11.6,6
7.2,-1.1363141558521213,-1.018877320649256,0.6936470556015963,-3.3813947543659757,3.610944939306028,114.0,0.9906,3.1,0.71,12.3,7
8.5,-1.422958345491482,-0.9390477189967712,2.341901955370996,-3.101092789211817,2.995782272304033,142.0,0.9974,3.2,0.53,10.0,6
8.3,-1.9589953886039686,-1.07587280169862,0.0962188577405429,-3.1465551632885744,1.9460529959950605,47.0,0.9934,3.47,0.4,10.2,6
7.4,-1.3823023398503531,-1.018877320649256,0.7183274790902434,-2.975929646257811,3.434019462029382,100.0,0.992,3.19,0.44,10.8,6
6.2,-2.111964733385396,-1.07587280169862,0.40613155265132483,-3.079113882493042,3.7612233712371035,117.0,0.9939,3.42,0.51,9.0,6
5.8,-1.305636458102436,-1.6044503709230613,2.7047781872317906,-3.101092789211817,3.0910879068707438,179.0,0.9962,3.37,0.37,10.2,5
7.3,-1.2694006096483912,-0.8416471888783893,0.5312163134137247,-2.513306124309698,3.0445700556372914,123.0,0.9905,3.19,0.42,12.8,5
6.5,-0.9390477189967712,-1.4653375684603434,1.6865841216107542,-2.9565115604007097,3.218915824068222,149.0,0.9934,3.24,0.35,10.0,5
7.0,-1.1056369036050742,-1.1363141558521213,0.18315454309784637,-2.9187712324178627,3.6376124751696053,138.0,0.9906,3.13,0.28,11.2,6
7.3,-1.422958345491482,-0.9390477189967712,2.887645823688933,-2.8473122684357177,3.806684711745632,149.0,0.9999,3.21,0.36,8.6,5
7.3,-1.422958345491482,-0.9390477189967712,2.887645823688933,-2.8473122684357177,3.806684711745632,149.0,0.9999,3.21,0.36,8.6,5
6.7,-1.4653375684603434,-0.9390477189967712,0.9166906518954819,-1.7544636844843582,4.143150599281431,158.0,0.9937,3.11,0.36,9.4,6
6.7,-1.422958345491482,-0.9390477189967712,1.065055505139267,-1.7486999797676082,4.143150599281431,157.0,0.9937,3.1,0.34,9.4,6
7.0,-1.1679623668029029,-1.3432348716594436,2.0016151262153294,-2.659260036932778,3.3322402238231783,160.0,0.9954,3.13,0.46,9.8,6
6.6,-1.422958345491482,-1.305636458102436,0.3371862673548698,-2.8473122684357177,3.4965378640376557,152.0,0.9934,3.22,0.56,9.5,6
6.7,-1.4653375684603434,-1.3432348716594436,0.3371862673548698,-2.796881414808826,3.4965378640376557,154.0,0.9934,3.24,0.56,9.5,6
7.4,-1.7092582477163114,-1.1679623668029029,0.3371862673548698,-2.8302178350764176,3.6376124751696053,167.0,0.9931,3.16,0.53,10.0,7
6.2,-0.7962879394794586,-1.3432348716594436,1.4818317878289544,-2.7488721956224653,4.143150599281431,206.0,0.994,3.27,0.52,9.8,4
6.2,-0.7743572359854884,-1.3823023398503531,1.4818317878289544,-2.703062659591171,4.127150513947278,207.0,0.9939,3.25,0.52,9.8,5
7.0,-1.1679623668029029,-1.3432348716594436,2.0016151262153294,-2.659260036932778,3.3322402238231783,160.0,0.9954,3.13,0.46,9.8,6
6.9,-1.6554818509355071,-1.0469690555162714,1.6096378924367667,-2.6882475738060303,3.4657671523114555,150.0,0.995,3.36,0.48,9.8,5
7.2,-1.6554818509355071,-1.1679623668029029,0.4706284340145776,-2.7646205525906042,3.434019462029382,173.0,0.9917,3.35,0.44,11.7,6
6.6,-1.3823023398503531,-1.2344320118106447,0.0962188577405429,-2.6736487743848776,3.6635872868265618,124.0,0.9914,3.34,0.58,11.0,7
6.2,-1.8263509139976741,-1.1056369036050742,0.0962188577405429,-2.8473122684357177,3.0445700556372914,82.0,0.991,3.32,0.46,10.9,7
6.4,-1.7092582477163114,-1.0469690555162714,0.0009995003330834232,-3.079113882493042,3.6635872868265618,108.0,0.9911,3.31,0.35,10.9,6
6.8,-1.6044503709230613,-0.5259392615760389,-0.10425002137379911,-1.9105430052180221,3.6376124751696053,132.0,0.993,3.05,0.38,9.1,6
6.9,-1.3823023398503531,-1.0469690555162714,0.2631331995303682,-3.2188758248682006,3.367330312150578,191.0,0.9908,3.13,0.52,11.0,6
7.2,-1.5558971455060706,-1.07587280169862,2.476622430200303,-3.123565645063876,3.610944939306028,213.0,0.9962,3.09,0.5,9.6,6
6.0,-1.6554818509355071,-1.3432348716594436,2.5177771145206354,-3.0159349808715104,3.9120430052281487,147.0,0.9972,3.3,0.36,8.9,6
6.6,-0.9649559038554361,-1.8904754421672127,1.5262736711733316,-3.101092789211817,3.218915824068222,78.0,0.9931,3.11,0.38,10.2,6
7.4,-1.6044503709230613,-1.018877320649256,0.18315454309784637,-3.2441936328524905,3.784212360932728,111.0,0.9926,3.36,0.34,9.9,6
6.8,-1.5095925774643841,-1.422958345491482,1.5894392659274106,-2.375155785828881,3.4012307144399454,123.0,0.9951,3.03,0.46,8.6,6
6.0,-1.6554818509355071,-1.3432348716594436,2.5177771145206354,-3.0159349808715104,3.9120430052281487,147.0,0.9972,3.3,0.36,8.9,6
7.0,-0.7528971849657193,-2.6450754019408214,0.0962188577405429,-3.324236340526027,2.833272165855592,151.0,0.991,3.02,0.34,10.5,5
6.6,-0.9649559038554361,-1.8904754421672127,1.5262736711733316,-3.101092789211817,3.218915824068222,78.0,0.9931,3.11,0.38,10.2,6
7.2,-1.422958345491482,-1.305636458102436,0.3371862673548698,-3.2441936328524905,3.434019462029382,122.0,0.9927,3.15,0.46,10.3,6
6.2,-1.0469690555162714,-3.473768074496991,0.18315454309784637,-2.7333680090865,3.367330312150578,120.0,0.9934,3.22,0.54,9.1,5
6.4,-1.3432348716594436,-1.422958345491482,1.8564542281598664,-3.1941832122778293,3.295873902355512,124.0,0.9903,3.22,0.49,12.6,7
6.7,-1.3823023398503531,-2.0325579557809856,0.18315454309784637,-3.170085660698769,4.394461500275244,174.0,0.992,3.14,0.42,9.8,5
6.7,-1.4653375684603434,-1.1679623668029029,0.7424134218628634,-3.0576076772720784,3.4012307144399454,96.0,0.9926,3.33,0.64,10.7,8
7.4,-1.422958345491482,-1.2344320118106447,2.312634428847047,-2.975929646257811,3.0445700556372914,105.0,0.9962,3.13,0.35,9.5,5
6.2,-1.305636458102436,-0.8416471888783893,2.054251930606176,-2.864704011147587,3.8712218440242134,244.0,0.9956,3.1,0.51,9.0,6
6.8,-1.2006450142332614,-1.4653375684603434,1.5262736711733316,-2.7806208939370456,3.9219931380654556,238.5,0.9958,3.32,0.6,9.5,5
6.0,-1.305636458102436,-1.2694006096483912,1.5688242295488033,-2.7488721956224653,3.434019462029382,201.0,0.9964,3.69,0.71,10.0,5
8.6,-1.4653375684603434,-0.7743572359854884,0.0009995003330834232,-2.900422093749666,2.1973356822749484,72.0,0.9941,2.95,0.49,9.1,6
6.7,-1.4653375684603434,-1.1679623668029029,0.7424134218628634,-3.0576076772720784,3.4012307144399454,96.0,0.9926,3.33,0.64,10.7,8
7.4,-1.422958345491482,-1.2344320118106447,2.312634428847047,-2.975929646257811,3.0445700556372914,105.0,0.9962,3.13,0.35,9.5,5
7.1,-1.7092582477163114,-1.018877320649256,0.3371862673548698,-3.123565645063876,3.434019462029382,87.0,0.9898,3.26,0.37,12.7,7
7.0,-1.1363141558521213,-1.07587280169862,0.2631331995303682,-3.1465551632885744,2.995782272304033,69.0,0.9912,3.31,0.65,12.0,7
7.4,-1.7092582477163114,-1.2006450142332614,2.174865351391675,-2.7333680090865,3.2581349988203177,103.0,0.9961,2.94,0.56,9.3,5
6.7,-0.6143360001356555,-1.2694006096483912,1.6865841216107542,-2.796881414808826,3.0445700556372914,105.0,0.9949,3.27,0.37,9.0,5
6.8,-1.5095925774643841,-1.1679623668029029,0.3371862673548698,-2.9187712324178627,3.52638993594835,114.0,0.9929,3.39,0.77,10.6,6
7.1,-1.6044503709230613,-1.07587280169862,2.7726512202867375,-2.975929646257811,3.9318452403752318,166.0,0.9985,3.21,0.6,9.2,6
7.1,-1.07587280169862,-1.6044503709230613,1.8084526921697155,-2.7488721956224653,3.85016887807946,164.0,0.9946,3.17,0.42,10.0,5
7.3,-1.5095925774643841,-1.2006450142332614,2.104256098054274,-3.036554268074246,3.7376934275237357,207.0,0.9966,3.33,0.46,9.5,6
7.1,-0.8416471888783893,-0.49265831981054176,2.4681842736436117,-3.079113882493042,3.989002564911327,155.0,0.9974,3.11,0.45,8.7,5
7.1,-0.818710403535291,-0.4764241970486583,2.4681842736436117,-3.101092789211817,3.9512629491657494,152.0,0.9975,3.12,0.46,8.7,6
7.2,-0.9390477189967712,-0.4604494164409239,2.3979861777572986,-3.101092789211817,4.0073513668853655,156.0,0.9974,3.09,0.44,8.7,6
6.8,-1.3823023398503531,-1.1679623668029029,2.5878392203711593,-2.975929646257811,4.2341209972458635,202.0,0.9972,3.22,0.48,9.7,6
7.1,-0.8416471888783893,-0.49265831981054176,2.4681842736436117,-3.079113882493042,3.989002564911327,155.0,0.9974,3.11,0.45,8.7,5
7.1,-0.818710403535291,-0.4764241970486583,2.4681842736436117,-3.101092789211817,3.9512629491657494,152.0,0.9975,3.12,0.46,8.7,6
7.2,-0.9390477189967712,-0.4604494164409239,2.3979861777572986,-3.101092789211817,4.0073513668853655,156.0,0.9974,3.09,0.44,8.7,6
6.1,-1.305636458102436,-0.8416471888783893,2.0150363449874993,-2.995732273553991,4.17440265439268,243.0,0.9957,3.12,0.47,9.0,5
6.9,-1.422958345491482,-1.1056369036050742,0.5312163134137247,-3.324236340526027,3.85016887807946,136.0,0.99,3.26,0.4,12.6,7
